31 44 8 40 60 14 50 12 56 11 21 3 18 9 4 26 10 38 23 35 16 37 29 49 46 5 34 52 33 27 13 51 39 28 55 6 32 48 47 30 22 24 25 36 7 20 43 53 41 2 54 58 15 57 45 42 1 19 59 17 	62217.59055733638	1128115.3283572881
60 58 55 53 51 48 46 44 41 39 37 35 33 31 29 26 24 22 20 18 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 19 21 23 25 27 28 30 32 34 36 38 40 42 43 45 47 49 50 52 54 56 57 59 	66840.35229897598	905683.1139769995
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	43348.6507385321	1105132.319473862
58 56 53 51 49 46 44 42 40 38 35 33 31 29 27 25 23 21 19 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 18 20 22 24 26 28 30 32 34 36 37 39 41 43 45 47 48 50 52 54 55 57 59 60 	65099.2352761971	906730.1143504581
42 43 40 39 37 35 33 31 29 27 25 23 21 18 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 19 20 22 24 26 28 30 32 34 36 38 41 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	54548.21714145369	957579.9292522459
59 57 54 52 50 47 45 43 41 38 36 34 32 30 28 26 23 21 19 17 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 18 20 22 24 25 27 29 31 33 35 37 39 40 42 44 46 48 49 51 53 55 56 58 60 	65825.2023493102	906054.7271016147
52 50 48 46 44 42 40 37 35 33 31 29 27 25 23 21 19 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 18 20 22 24 26 28 30 32 34 36 38 39 41 43 45 47 49 51 53 54 55 56 57 58 59 60 	60704.0867688285	918756.6082384415
39 42 40 37 36 34 32 30 28 26 24 22 20 18 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 17 19 21 23 25 27 29 31 33 35 38 41 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	53806.016804483006	964120.7681198649
20 30 32 31 29 27 25 24 22 19 17 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 18 21 23 26 28 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	48647.19656887793	1020452.5768233284
1 2 3 4 5 6 8 12 11 10 7 9 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	43401.99243962257	1104086.201241667
43 44 41 40 38 36 34 32 30 28 25 23 21 19 17 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 18 20 22 24 26 27 29 31 33 35 37 39 42 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	55424.411505446085	950463.3188119367
60 57 55 52 50 48 45 43 41 39 37 34 32 30 28 26 24 22 20 18 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 17 19 21 23 25 27 29 31 33 35 36 38 40 42 44 46 47 49 51 53 54 56 58 59 	66427.95595969658	905757.9580580802
56 54 52 49 47 45 43 41 38 36 34 32 30 28 26 24 21 19 17 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 18 20 22 23 25 27 29 31 33 35 37 39 40 42 44 46 48 50 51 53 55 57 58 59 60 	63611.43753769964	909250.3629620651
52 50 48 46 43 41 39 37 35 33 31 29 26 24 22 20 18 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 19 21 23 25 27 28 30 32 34 36 38 40 42 44 45 47 49 51 53 54 55 56 57 58 59 60 	60340.054276935654	920357.0343428125
48 46 45 43 40 38 36 34 32 30 28 26 24 22 20 18 16 14 12 9 7 5 3 1 2 4 6 8 10 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 42 44 47 49 50 51 52 53 54 55 56 57 58 59 60 	57588.34511438904	935225.2100571652
41 42 40 38 36 34 32 30 28 26 24 22 20 18 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	54177.76916566142	960766.2612280748
34 38 37 35 33 31 29 27 25 23 21 19 17 15 13 11 9 7 5 3 1 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 36 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	51403.466689617715	987924.5671324215
18 28 32 31 29 26 25 23 21 19 16 14 12 10 8 6 4 2 1 3 5 7 9 11 13 15 17 20 22 24 27 30 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 	48339.863805335895	1024553.069552052
